house;fragrance;sample_ml;sample_cost;shipping_cost;amount;order_date;shipping_date;arrival_date;rating;bottle_ml;bottle_cost
Maison Margiela;Soul of the Forest;2;4;3,9;1;21.08.18;31.08.18;;4;100;91
Penhaligon's;Sartorial;2;4;3,9;1;21.08.18;31.08.18;;4;50;124
Serge Lutens;La vierge de fer;2;5;3,9;1;21.08.18;31.08.18;;2;50;92
Serge Lutens;Un bois vanille;2;5;3,9;1;21.08.18;31.08.18;;4;50;82
Lalique;Encre Noire Pour Homme;2;4;3,9;1;14.10.18;17.10.18;;2;50;199
Penhaligon's;Endymion;2;5;3,9;1;14.10.18;17.10.18;;4;50;124
Serge Lutens;Chergui;2;5;3,9;1;14.10.18;17.10.18;;5;50;91
The Vagabond Prince;Enchanted Forest;2;5;3,9;1;14.10.18;17.10.18;;2;100;199
Tom Ford;Tobacco Vanille;2;9;3,9;1;14.10.18;17.10.18;;4;50;199
Tom Ford;Noir;2;4;3,9;1;14.10.18;17.10.18;;3;50;199
Ineke;Field Notes from Paris;2;4;3,9;1;08.12.18;14.12.18;;4;75;180
Maison Margiela;By The Fireplace;2;4;3,9;1;08.12.18;14.12.18;;4;100;110
Maison Margiela;Soul of the Forest;2;4;3,9;1;08.12.18;14.12.18;;4;100;92
Penhaligon's;Opus 1870;2;5;3,9;1;08.12.18;14.12.18;;3;50;130
Pro Fumum Roma;Arso;2;7;3,9;1;08.12.18;14.12.18;;4;100;118
Serge Lutens;Dent de lait;2;5;3,9;1;08.12.18;14.12.18;;1;50;120
Serge Lutens;Datura noir;2;5;3,9;1;08.12.18;14.12.18;;2;50;199
Beaufort London;Fathom V;2;8;3,9;1;11.02.19;19.02.19;20.02.19;2;50;125
Byredo;Gypsy Water;2;5;3,9;1;11.02.19;19.02.19;20.02.19;;50;89
Maison Margiela;(untitled);2;4;3,9;1;11.02.19;19.02.19;20.02.19;;75;125
Maison Margiela;Sailing Day;2;4;3,9;1;11.02.19;19.02.19;20.02.19;2;100;89
Mancera;Cedrat Boise;2;4;3,9;1;11.02.19;19.02.19;20.02.19;4;60;219
