house;fragrance;sample_ml;sample_cost;shipping_cost;amount;order_date;shipping_date;arrival_date;rating;bottle_ml;bottle_cost
Maison Margiela;Soul of the Forest;2;4;3,9;1;2018-08-21;2018-08-31;;4;100;91
Penhaligon's;Sartorial;2;4;3,9;1;2018-08-21;2018-08-31;;4;50;124
Serge Lutens;La vierge de fer;2;5;3,9;1;2018-08-21;2018-08-31;;2;50;92
Serge Lutens;Un bois vanille;2;5;3,9;1;2018-08-21;2018-08-31;;4;50;82
Lalique;Encre Noire Pour Homme;2;4;3,9;1;2018-10-14;2018-10-17;;2;50;199
Penhaligon's;Endymion;2;5;3,9;1;2018-10-14;2018-10-17;;4;50;124
Serge Lutens;Chergui;2;5;3,9;1;2018-10-14;2018-10-17;;5;50;91
The Vagabond Prince;Enchanted Forest;2;5;3,9;1;2018-10-14;2018-10-17;;2;100;199
Tom Ford;Tobacco Vanille;2;9;3,9;1;2018-10-14;2018-10-17;;4;50;199
Tom Ford;Noir;2;4;3,9;1;2018-10-14;2018-10-17;;3;50;199
Ineke;Field Notes from Paris;2;4;3,9;1;2018-12-08;2018-12-14;;4;75;180
Maison Margiela;By The Fireplace;2;4;3,9;1;2018-12-08;2018-12-14;;4;100;110
Maison Margiela;Soul of the Forest;2;4;3,9;1;2018-12-08;2018-12-14;;4;100;92
Penhaligon's;Opus 1870;2;5;3,9;1;2018-12-08;2018-12-14;;3;50;130
Pro Fumum Roma;Arso;2;7;3,9;1;2018-12-08;2018-12-14;;4;100;118
Serge Lutens;Dent de lait;2;5;3,9;1;2018-12-08;2018-12-14;;1;50;120
Serge Lutens;Datura noir;2;5;3,9;1;2018-12-08;2018-12-14;;2;50;199
Beaufort London;Fathom V;2;8;3,9;1;2019-02-11;2019-02-19;2019-02-20;2;50;125
Byredo;Gypsy Water;2;5;3,9;1;2019-02-11;2019-02-19;2019-02-20;;50;89
Maison Margiela;(untitled);2;4;3,9;1;2019-02-11;2019-02-19;2019-02-20;;75;125
Maison Margiela;Sailing Day;2;4;3,9;1;2019-02-11;2019-02-19;2019-02-20;2;100;89
Mancera;Cedrat Boise;2;4;3,9;1;2019-02-11;2019-02-19;2019-02-20;4;60;219
Tom Ford;Grey Vetiver;2;4;3,9;1;2019-02-11;2019-02-19;2019-02-20;4;50;169
Penhaligon's;Blasted Heath;2;5;3,9;1;2019-03-28;2019-03-29;2019-03-30;4;50;120
Tom Ford;Oud Minerale;2;9;3,9;1;2019-03-28;2019-03-29;2019-03-30;5;50;90
Tom Ford;Oud Wood;2;9;3,9;1;2019-03-28;2019-03-29;2019-03-30;4;30;90
Tom Ford;Vert de Bois;2;12;3,9;1;2019-03-28;2019-03-29;2019-03-30;3;50;94
Tom Ford;Vert d'Encens;2;12;3,9;1;2019-03-28;2019-03-29;2019-03-30;3;50;94
Tom Ford;Vert Boheme;2;12;3,9;1;2019-03-28;2019-03-29;2019-03-30;1;50;124
